Current (mA)	Voltage (V)	Power (mW)
14.30000	2.01928	0.01420
14.35000	2.02051	0.01399
14.40000	2.02187	0.01403
14.45000	2.02320	0.01403
14.50000	2.02451	0.01341
14.55000	2.02583	0.01372
14.60000	2.02716	0.01384
14.65000	2.02852	0.01368
14.70000	2.02977	0.01314
14.75000	2.03105	0.01341
14.80000	2.03234	0.01347
14.85000	2.03372	0.01347
14.90000	2.03512	0.01322
14.95000	2.03635	0.01287
15.00000	2.03762	0.01314
15.05000	2.03897	0.01318
15.10000	2.04024	0.01341
15.15000	2.04159	0.01262
15.20000	2.04284	0.01299
15.25000	2.04428	0.01310
15.30000	2.04545	0.01291
15.35000	2.04680	0.01287
15.40000	2.04801	0.01280
15.45000	2.04942	0.01276
15.50000	2.05069	0.01314
15.55000	2.05198	0.01251
15.60000	2.05334	0.01287
15.65000	2.05457	0.01303
15.70000	2.05586	0.01262
15.75000	2.05716	0.01216
15.80000	2.05845	0.01231
15.85000	2.05981	0.01228
15.90000	2.06105	0.01270
15.95000	2.06240	0.01243
16.00000	2.06363	0.01239
16.05000	2.06496	0.01209
16.10000	2.06624	0.01243
16.15000	2.06749	0.01216
16.20000	2.06884	0.01254
16.25000	2.07005	0.01239
16.30000	2.07143	0.01216
16.35000	2.07141	0.01228
16.40000	2.07096	0.01187
16.45000	2.07098	0.01220
16.50000	2.07101	0.01220
16.55000	2.07100	0.01209
16.60000	2.07098	0.01231
16.65000	2.07102	0.01224
16.70000	2.07091	0.01216
16.75000	2.07101	0.01220
16.80000	2.07106	0.01239
16.85000	2.07092	0.01195
16.90000	2.07091	0.01239
16.95000	2.07101	0.01191
17.00000	2.07099	0.01258
17.05000	2.07092	0.01183
17.10000	2.07097	0.01187
17.15000	2.07103	0.01231
17.20000	2.07092	0.01247
17.25000	2.07093	0.01183
17.30000	2.07094	0.01262
17.35000	2.07103	0.01251
17.40000	2.07096	0.01209
17.45000	2.07097	0.01209
17.50000	2.07098	0.01228
17.55000	2.07098	0.01220
17.60000	2.07102	0.01228
17.65000	2.07096	0.01266
17.70000	2.07088	0.01191
17.75000	2.07091	0.01202
17.80000	2.07098	0.01251
17.85000	2.07094	0.01191
17.90000	2.07103	0.01187
17.95000	2.07098	0.01251
18.00000	2.07096	0.01243
18.05000	2.07102	0.01243
18.10000	2.07093	0.01195
18.15000	2.07093	0.01183
18.20000	2.07099	0.01243
18.25000	2.07108	0.01239
18.30000	2.07093	0.01205
18.35000	2.07103	0.01216
18.40000	2.07093	0.01239
18.45000	2.07107	0.01228
18.50000	2.07092	0.01183
18.55000	2.07098	0.01179
18.60000	2.07098	0.01251
18.65000	2.07096	0.01216
18.70000	2.07101	0.01239
18.75000	2.07105	0.01205
18.80000	2.07088	0.01209
18.85000	2.07098	0.01212
18.90000	2.07101	0.01254
18.95000	2.07103	0.01209
19.00000	2.07088	0.01235
19.05000	2.07096	0.01247
19.10000	2.07093	0.01224
19.15000	2.07092	0.01164
19.20000	2.07092	0.01235
19.25000	2.07096	0.01231
19.30000	2.07104	0.01228
19.35000	2.07093	0.01183
19.40000	2.07098	0.01202
19.45000	2.07098	0.01220
19.50000	2.07098	0.01251
19.55000	2.07094	0.01179
19.60000	2.07098	0.01243
19.65000	2.07093	0.01239
19.70000	2.07093	0.01247
19.75000	2.07095	0.01235
19.80000	2.07096	0.01183
19.85000	2.07091	0.01216
19.90000	2.07102	0.01224
19.95000	2.07097	0.01216
20.00000	2.07098	0.01212
20.05000	2.07093	0.01220
20.10000	2.07098	0.01258
20.15000	2.07096	0.01195
20.20000	2.07095	0.01205
20.25000	2.07096	0.01209
20.30000	2.07097	0.01251
20.35000	2.07093	0.01251
20.40000	2.07099	0.01199
20.45000	2.07093	0.01216
20.50000	2.07093	0.01228
20.55000	2.07092	0.01212
20.60000	2.07106	0.01231
20.65000	2.07092	0.01228
20.70000	2.07100	0.01247
20.75000	2.07102	0.01202
20.80000	2.07103	0.01179
20.85000	2.07091	0.01212
20.90000	2.07091	0.01247
20.95000	2.07103	0.01212
21.00000	2.07094	0.01243
21.05000	2.07097	0.01191
21.10000	2.07099	0.01220
21.15000	2.07099	0.01205
21.20000	2.07096	0.01224
21.25000	2.07093	0.01205
21.30000	2.07098	0.01270
21.35000	2.07103	0.01231
21.40000	2.07106	0.01243
21.45000	2.07093	0.01212
21.50000	2.07093	0.01179
21.55000	2.07101	0.01231
21.60000	2.07092	0.01251
21.65000	2.07106	0.01243
21.70000	2.07101	0.01179
21.75000	2.07103	0.01231
21.80000	2.07101	0.01209
21.85000	2.07095	0.01209
21.90000	2.07098	0.01228
21.95000	2.07093	0.01262
22.00000	2.07102	0.01254
22.05000	2.07105	0.01254
22.10000	2.07097	0.01228
22.15000	2.07096	0.01216
22.20000	2.07108	0.01270
22.25000	2.07102	0.01262
22.30000	2.07095	0.01199
22.35000	2.07099	0.01220
22.40000	2.07098	0.01266
22.45000	2.07094	0.01228
22.50000	2.07088	0.01212
22.55000	2.07091	0.01212
22.60000	2.07098	0.01247
22.65000	2.07096	0.01243
22.70000	2.07093	0.01231
22.75000	2.07103	0.01187
22.80000	2.07093	0.01258
22.85000	2.07101	0.01247
22.90000	2.07102	0.01216
22.95000	2.07096	0.01205
23.00000	2.07102	0.01224
23.05000	2.07098	0.01209
23.10000	2.07101	0.01224
23.15000	2.07094	0.01179
23.20000	2.07091	0.01228
23.25000	2.07106	0.01247
23.30000	2.07101	0.01251
23.35000	2.07091	0.01216
23.40000	2.07095	0.01202
23.45000	2.07101	0.01205
23.50000	2.07104	0.01220
23.55000	2.07102	0.01195
23.60000	2.07094	0.01228
23.65000	2.07097	0.01270
23.70000	2.07092	0.01239
23.75000	2.07101	0.01205
23.80000	2.07105	0.01202
23.85000	2.07091	0.01195
23.90000	2.07097	0.01228
23.95000	2.07100	0.01220
24.00000	2.07091	0.01168
24.05000	2.07103	0.01239
24.10000	2.07098	0.01209
24.15000	2.07096	0.01212
