Current (mA)	Voltage (V)	Power (mW)
14.85000	2.50087	0.00985
14.90000	2.50090	0.00989
14.95000	2.50090	0.00918
15.00000	2.50082	0.00966
15.05000	2.50089	0.01007
15.10000	2.50087	0.00999
15.15000	2.50085	0.00982
15.20000	2.50093	0.00982
15.25000	2.50082	0.00970
15.30000	2.50087	0.00974
15.35000	2.50090	0.00940
15.40000	2.50085	0.00959
15.45000	2.50085	0.00992
15.50000	2.50087	0.00955
15.55000	2.50090	0.01022
15.60000	2.50092	0.00951
15.65000	2.50082	0.00970
15.70000	2.50098	0.00951
15.75000	2.50091	0.00985
15.80000	2.50091	0.00974
15.85000	2.50087	0.00989
15.90000	2.50089	0.00978
15.95000	2.50084	0.00989
16.00000	2.50087	0.00940
16.05000	2.50083	0.00959
16.10000	2.50082	0.00966
16.15000	2.50085	0.00978
16.20000	2.50088	0.00955
16.25000	2.50087	0.00974
16.30000	2.50087	0.00999
16.35000	2.50087	0.00951
16.40000	2.50086	0.00978
16.45000	2.50090	0.00989
16.50000	2.50083	0.00985
16.55000	2.50085	0.00959
16.60000	2.50087	0.00974
16.65000	2.50083	0.00947
16.70000	2.50089	0.00959
16.75000	2.50092	0.00992
16.80000	2.50087	0.00985
16.85000	2.50093	0.00947
16.90000	2.50082	0.00970
16.95000	2.50088	0.00970
17.00000	2.50093	0.00955
17.05000	2.50087	0.00963
17.10000	2.50091	0.00944
17.15000	2.50087	0.00955
17.20000	2.50082	0.00970
17.25000	2.50089	0.00963
17.30000	2.50085	0.00974
17.35000	2.50082	0.00970
17.40000	2.50090	0.00966
17.45000	2.50087	0.00992
17.50000	2.50082	0.00974
17.55000	2.50083	0.01007
17.60000	2.50087	0.00978
17.65000	2.50093	0.01007
17.70000	2.50089	0.00940
17.75000	2.50079	0.00940
17.80000	2.50081	0.00982
17.85000	2.50082	0.00985
17.90000	2.50085	0.00944
17.95000	2.50078	0.00999
18.00000	2.50095	0.00963
18.05000	2.50095	0.00963
18.10000	2.50083	0.00936
18.15000	2.50087	0.00970
18.20000	2.50087	0.01003
18.25000	2.50085	0.00996
18.30000	2.50085	0.00936
18.35000	2.50084	0.00936
18.40000	2.50087	0.00970
18.45000	2.50089	0.01003
18.50000	2.50085	0.00985
18.55000	2.50092	0.00966
18.60000	2.50087	0.00992
18.65000	2.50092	0.00982
18.70000	2.50092	0.00966
18.75000	2.50087	0.00947
18.80000	2.50086	0.01003
18.85000	2.50090	0.00978
18.90000	2.50090	0.01011
18.95000	2.50080	0.00985
19.00000	2.50088	0.00978
19.05000	2.50095	0.00974
19.10000	2.50091	0.00978
19.15000	2.50090	0.00966
19.20000	2.50082	0.01030
19.25000	2.50087	0.00996
19.30000	2.50095	0.01026
19.35000	2.50089	0.00925
19.40000	2.50085	0.00951
19.45000	2.50087	0.01011
19.50000	2.50085	0.00999
19.55000	2.50090	0.00999
19.60000	2.50084	0.00963
19.65000	2.50087	0.00982
19.70000	2.50085	0.01007
19.75000	2.50090	0.00944
19.80000	2.50094	0.00974
19.85000	2.50088	0.01007
19.90000	2.50093	0.01007
19.95000	2.50085	0.00970
20.00000	2.50081	0.00951
20.05000	2.50078	0.00955
20.10000	2.50093	0.00982
20.15000	2.50082	0.01003
20.20000	2.50080	0.00944
20.25000	2.50093	0.00970
20.30000	2.50088	0.00999
