Current (mA)	Voltage (V)	Power (mW)
14.85000	2.07126	0.01049
14.90000	2.07120	0.01007
14.95000	2.07113	0.00996
15.00000	2.07117	0.01060
15.05000	2.07123	0.01022
15.10000	2.07115	0.01070
15.15000	2.07122	0.01011
15.20000	2.07113	0.01030
15.25000	2.07123	0.01049
15.30000	2.07126	0.01063
15.35000	2.07115	0.01037
15.40000	2.07114	0.01030
15.45000	2.07125	0.01056
15.50000	2.07125	0.01045
15.55000	2.07118	0.01011
15.60000	2.07120	0.01063
15.65000	2.07113	0.01053
15.70000	2.07125	0.01034
15.75000	2.07123	0.01022
15.80000	2.07118	0.01030
15.85000	2.07115	0.01037
15.90000	2.07111	0.01056
15.95000	2.07116	0.01041
16.00000	2.07116	0.01003
16.05000	2.07121	0.01093
16.10000	2.07123	0.01060
16.15000	2.07125	0.01030
16.20000	2.07123	0.01045
16.25000	2.07123	0.01030
16.30000	2.07123	0.01060
16.35000	2.07125	0.01093
16.40000	2.07125	0.01026
16.45000	2.07128	0.01022
16.50000	2.07117	0.01053
16.55000	2.07115	0.01060
16.60000	2.07122	0.01030
16.65000	2.07120	0.01060
16.70000	2.07119	0.01070
16.75000	2.07115	0.01086
16.80000	2.07117	0.01018
16.85000	2.07119	0.01049
16.90000	2.07109	0.01060
16.95000	2.07121	0.01037
17.00000	2.07123	0.01067
17.05000	2.07115	0.01022
17.10000	2.07113	0.01045
17.15000	2.07116	0.01074
17.20000	2.07118	0.01018
17.25000	2.07118	0.01011
17.30000	2.07120	0.01041
17.35000	2.07124	0.01037
17.40000	2.07118	0.01022
17.45000	2.07118	0.01018
17.50000	2.07122	0.01034
17.55000	2.07119	0.01053
17.60000	2.07120	0.01053
17.65000	2.07120	0.01063
17.70000	2.07128	0.01041
17.75000	2.07118	0.01049
17.80000	2.07125	0.01007
17.85000	2.07119	0.01030
17.90000	2.07118	0.01007
17.95000	2.07118	0.01070
18.00000	2.07120	0.01093
18.05000	2.07120	0.01060
18.10000	2.07118	0.01007
18.15000	2.07110	0.01022
18.20000	2.07126	0.01022
18.25000	2.07122	0.01034
18.30000	2.07115	0.01015
18.35000	2.07114	0.01089
18.40000	2.07120	0.01034
18.45000	2.07119	0.01074
18.50000	2.07120	0.01037
18.55000	2.07115	0.01056
18.60000	2.07127	0.01053
18.65000	2.07115	0.01053
18.70000	2.07120	0.01011
18.75000	2.07114	0.01011
18.80000	2.07118	0.01053
18.85000	2.07123	0.01067
18.90000	2.07122	0.01067
18.95000	2.07119	0.01037
19.00000	2.07120	0.01082
19.05000	2.07127	0.01074
19.10000	2.07116	0.01074
19.15000	2.07118	0.01011
19.20000	2.07122	0.01045
19.25000	2.07120	0.01063
19.30000	2.07118	0.01034
19.35000	2.07122	0.01034
19.40000	2.07112	0.01063
19.45000	2.07118	0.01045
19.50000	2.07120	0.01053
19.55000	2.07118	0.01018
19.60000	2.07118	0.01063
19.65000	2.07113	0.01078
19.70000	2.07120	0.01034
19.75000	2.07132	0.01034
19.80000	2.07120	0.01015
19.85000	2.07122	0.01056
19.90000	2.07115	0.01018
19.95000	2.07128	0.01030
20.00000	2.07114	0.01041
20.05000	2.07113	0.01041
20.10000	2.07127	0.01082
20.15000	2.07116	0.01053
20.20000	2.07117	0.00992
20.25000	2.07118	0.01063
20.30000	2.07115	0.01056
20.35000	2.07118	0.01089
20.40000	2.07123	0.01030
20.45000	2.07115	0.01026
20.50000	2.07122	0.01037
20.55000	2.07122	0.01007
20.60000	2.07117	0.01026
20.65000	2.07116	0.01067
20.70000	2.07122	0.01067
20.75000	2.07114	0.01060
20.80000	2.07115	0.01018
20.85000	2.07119	0.00996
20.90000	2.07118	0.01018
20.95000	2.07121	0.01067
21.00000	2.07126	0.01045
21.05000	2.07124	0.01060
21.10000	2.07120	0.01022
21.15000	2.07120	0.01018
21.20000	2.07123	0.01015
21.25000	2.07111	0.01060
21.30000	2.07113	0.01067
21.35000	2.07121	0.01067
21.40000	2.07125	0.01041
21.45000	2.07116	0.01022
21.50000	2.07120	0.01078
21.55000	2.07125	0.01063
21.60000	2.07120	0.01030
21.65000	2.07121	0.01049
21.70000	2.07120	0.01030
21.75000	2.07119	0.01045
21.80000	2.07120	0.01049
21.85000	2.07120	0.00989
21.90000	2.07120	0.01074
21.95000	2.07121	0.01053
22.00000	2.07120	0.01034
22.05000	2.07123	0.01056
22.10000	2.07115	0.01045
22.15000	2.07114	0.01056
22.20000	2.07124	0.01060
22.25000	2.07122	0.01045
22.30000	2.07112	0.01034
22.35000	2.07119	0.01070
22.40000	2.07122	0.01070
22.45000	2.07120	0.01053
22.50000	2.07120	0.01003
22.55000	2.07120	0.01030
22.60000	2.07120	0.01045
22.65000	2.07126	0.01018
22.70000	2.07114	0.01015
22.75000	2.07124	0.01034
22.80000	2.07127	0.01056
22.85000	2.07117	0.01045
22.90000	2.07120	0.01034
22.95000	2.07118	0.01049
23.00000	2.07120	0.01053
23.05000	2.07126	0.01060
23.10000	2.07125	0.01060
23.15000	2.07119	0.01015
23.20000	2.07118	0.01037
23.25000	2.07119	0.01049
23.30000	2.07132	0.01070
23.35000	2.07118	0.01045
23.40000	2.07115	0.01037
23.45000	2.07123	0.01053
23.50000	2.07118	0.01045
23.55000	2.07123	0.01026
23.60000	2.07112	0.01037
23.65000	2.07123	0.01078
23.70000	2.07115	0.01105
23.75000	2.07125	0.01030
23.80000	2.07113	0.01049
23.85000	2.07125	0.01060
23.90000	2.07118	0.01045
23.95000	2.07124	0.01070
24.00000	2.07123	0.01026
24.05000	2.07120	0.01070
24.10000	2.07123	0.01067
24.15000	2.07120	0.01045
24.20000	2.07119	0.01022
24.25000	2.07118	0.01049
24.30000	2.07118	0.01022
24.35000	2.07125	0.01056
24.40000	2.07116	0.01007
24.45000	2.07111	0.01078
24.50000	2.07120	0.01034
24.55000	2.07118	0.01060
24.60000	2.07119	0.01015
24.65000	2.07125	0.01097
24.70000	2.07122	0.01053
24.75000	2.07121	0.01060
24.80000	2.07118	0.01037
24.85000	2.07110	0.01045
24.90000	2.07115	0.01067
24.95000	2.07117	0.01053
25.00000	2.07125	0.01053
25.05000	2.07125	0.01045
25.10000	2.07121	0.01049
25.15000	2.07115	0.01045
25.20000	2.07116	0.01045
25.25000	2.07115	0.01026
25.30000	2.07117	0.01060
25.35000	2.07126	0.01049
25.40000	2.07121	0.01053
25.45000	2.07117	0.01030
25.50000	2.07120	0.01056
25.55000	2.07118	0.01070
25.60000	2.07124	0.01063
25.65000	2.07113	0.01041
25.70000	2.07117	0.01063
25.75000	2.07123	0.01067
25.80000	2.07123	0.01049
25.85000	2.07121	0.01041
25.90000	2.07117	0.01030
25.95000	2.07123	0.01056
26.00000	2.07128	0.01067
26.05000	2.07116	0.01067
26.10000	2.07114	0.01022
26.15000	2.07117	0.01067
26.20000	2.07120	0.01049
26.25000	2.07121	0.01026
26.30000	2.07113	0.01037
26.35000	2.07113	0.01070
26.40000	2.07127	0.01049
26.45000	2.07120	0.01041
26.50000	2.07118	0.01030
26.55000	2.07124	0.01049
26.60000	2.07126	0.01063
26.65000	2.07120	0.01078
26.70000	2.07119	0.00992
26.75000	2.07115	0.01060
26.80000	2.07115	0.01060
26.85000	2.07129	0.01030
26.90000	2.07113	0.01007
26.95000	2.07118	0.01007
27.00000	2.07123	0.01063
27.05000	2.07123	0.01053
27.10000	2.07124	0.01018
27.15000	2.07122	0.01003
27.20000	2.07123	0.01082
27.25000	2.07123	0.01089
27.30000	2.07127	0.01053
27.35000	2.07119	0.01026
27.40000	2.07118	0.01074
27.45000	2.07118	0.01037
27.50000	2.07120	0.01056
27.55000	2.07117	0.01015
27.60000	2.07118	0.01053
27.65000	2.07128	0.01056
27.70000	2.07122	0.01070
27.75000	2.07113	0.01026
27.80000	2.07113	0.01022
27.85000	2.07113	0.01049
27.90000	2.07122	0.01060
27.95000	2.07119	0.01003
28.00000	2.07118	0.01041
28.05000	2.07120	0.01053
28.10000	2.07117	0.01070
28.15000	2.07126	0.01049
28.20000	2.07117	0.01037
28.25000	2.07121	0.01030
28.30000	2.07118	0.01049
28.35000	2.07121	0.01074
28.40000	2.07125	0.01018
28.45000	2.07113	0.01056
28.50000	2.07122	0.01067
28.55000	2.07115	0.01045
28.60000	2.07113	0.01015
28.65000	2.07117	0.01074
28.70000	2.07127	0.01041
28.75000	2.07119	0.01067
28.80000	2.07124	0.01045
28.85000	2.07112	0.01018
28.90000	2.07118	0.01026
28.95000	2.07117	0.01093
29.00000	2.07114	0.01003
29.05000	2.07118	0.01063
29.10000	2.07123	0.01063
29.15000	2.07117	0.01078
29.20000	2.07118	0.01060
29.25000	2.07115	0.01049
29.30000	2.07126	0.01086
29.35000	2.07121	0.01045
29.40000	2.07120	0.01067
29.45000	2.07112	0.01045
29.50000	2.07122	0.01045
29.55000	2.07117	0.01056
29.60000	2.07125	0.01078
29.65000	2.07111	0.01045
29.70000	2.07118	0.01078
29.75000	2.07122	0.01030
29.80000	2.07115	0.01030
29.85000	2.07112	0.01026
29.90000	2.07120	0.01056
29.95000	2.07129	0.01030
30.00000	2.07123	0.01082
